page,row,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9
93,17,Lazdiņš  et al. (2021),Betula pendula,-,0.06 m³,12 cm,-,-,-,-,
93,18,Lazdiņš et al. (2016),Spruce,-,-,*(9.7-10.9) cm,-,-,-,-,
93,19,Leszczyński et al. (2021),Scots pine,25,*(0.074-0.103) m³,*(11.7-13.5) cm,-,-,-,-,
93,20,Liski et al. (2020),"Pine, Spruce, Birch, Other",-,0.2741 (0.033-1.267) m³,-,-,-,-,27,
93,21,,broadleaves,,,,,,,,
93,22,Louis & Kizha (2021),"Picea rubens, Acer",-,*(0.05-0.12) m³,-,Ragmuff-Monson Complex,-,(3-35)%,-,
93,23,,"saccharum, Acer",,,,"(38%), Telos-Chesuncook-",,,,
93,24,,"pensylvanicum, Picea",,,,"Ragmuff Association (27%),",,,,
93,25,,"mariana, Betula",,,,And Chesuncook-,,,,
93,26,,"alleghaniensis, Fagus",,,,Elliottsville Association,,,,
93,27,,grandifolia,,,,(23%),,,,
93,28,Magagnotti et al. (2021),Populus x euroamericana,8,"0.087 (0.074-0.103) m³,",12 cm,-,-,-,-,
93,29,,,,whole above ground,,,,,,
94,1,Manner et al. (2023),"Pinus sylvestris, Picea abies,",90,0.642 *(0.500-0.867) m³ub,-,2 - Berg (1992),2 - Berg (1992),1 - Berg (1992),1,
94,2,,Betula spp,,,,,,,,
94,3,McEwan et al. (2016),Eucalyptus grandis,11,0.466 m³ub,21 (8-40) cm,-,Smooth -,<20% -,2,
94,4,,,,,,,Erasmus (1994),Erasmus (1994),,
94,5,Mederski et al. (2016),Pinus sylvestris,*(40-100),0.14 m3,*(19.5-25.2) cm,-,-,-,2,
94,6,Norihiro et al. (2018),Eucalyptus grandis x,*(7-12),*(0.12-0.38) m3,"*(15.3-21.6), (5.2-35.7) cm",-,-,*(0-61)%,-,
94,7,,"camaldulensis, Eucalyptus",,,,,,,,
94,8,,"grandis x urophylla,",,,,,,,,
94,9,,"Eucalyptus smitthii,",,,,,,,,
94,10,,Eucalyptus dunnii,,,,,,,,
94,11,Nuutinen & Björheden (2016),"*Pine, Spruce, Birch",*(25-40),"*(27-84) dm³, above",-,-,-,-,1,
94,12,,,,ground volume,,,,,,
94,13,Olivera et al. (2016),"Eucalyptus bicostata,",*(15-19),*(0.29-0.55) m³ub,*(183-223) mm,"Loam, Predominantly Deep",-,"Gentle, Mostly",3,
94,14,,"Eucalyptus dunnii,",,,,,,"Below 6%,",,
94,15,,"Eucalyptus grandis,",,,,,,Occasionally Over,,
94,16,,Eucalyptus maidenii,,,,,,12%,,
94,17,Petitmermet et al. (2019),"Abies concolor, Pinus",-,-,<53.3 cm,Primarily Loamy-Skeletal,-,38 (12-70)%,1,
94,18,,ponderosa,,,,,,,,
94,19,Petty & Kärhä (2014),"Picea abies, Pinus sylvestris,",-,63 *(51-77) dm³,10.9 *(10.0-12.3) cm,High Bearing Capacity,No Foreign Obstacles,Level Terrain,1,
94,20,,"broadleaves, primarily",,,,,,,,
94,21,,Betula pubescens,,,,,,,,
95,1,Santos et al. (2022),Eucalyptus grandis x,-,*(0.08-0.20) m³ub,-,-,-,-,-,
95,2,,Eucalyptus urophylla,,,,,,,,
95,3,Santos et al. (2021),Eucalyptus grandis x,"6,3",0.10 m³,-,-,-,-,12,
95,4,,Eucalyptus urophylla,,,,,,,,
95,5,Santos et al. (2020),Eucalyptus,-,*(0.08-0.16) m³,-,-,-,Flat Relief,1,
95,6,,grandis x Eucalyptus,,,,,,,,
95,7,,urophylla,,,,,,,,
95,8,Schweier et al. (2015),"Quercus pubescens, Quercus",*(5-26),*(5-109) dry kg,"*(7-20), (5-31) cm",-,-,*(2-35)%,-,
95,9,,"ilex, Castanea sativa,",,,,,,,,
95,10,,"Quercus cerris, Populus",,,,,,,,
95,11,,"alba, Robinia pseudoacacia,",,,,,,,,
95,12,,Populus x euroamericana,,,,,,,,
95,13,Slugeň et al. (2014),"Quercus petraea, Fagus",*(70-75),*(0.38-0.50) m³,*(22-27) cm,-,-,*(15-17)%,-,
95,14,,sylvatica,,,,,,,,
95,15,Soman et al. (2020),"Abies balsamea, Acer",-,-,-,Glacial-Till And Marine,-,<15%,-,
95,16,,"rubrum, Picea rubens, Picea",,,,Sediment Parent Material,,,,
95,17,,"mariana, Pinus strobus,",,,,,,,,
95,18,,"Populus tremuloides,",,,,,,,,
95,19,,"Populus grandidentata,",,,,,,,,
95,20,,"Thuja occidentalis, Tsuga",,,,,,,,
95,21,,"canadensis, Quercus rubra,",,,,,,,,
95,22,,"Picea glauca, raxinus",,,,,,,,
95,23,,"americana, Betula",,,,,,,,
95,24,,"populifolia, Betula",,,,,,,,
95,25,,papyrifera,,,,,,,,
95,26,Soman et al. (2019),"Tsuga canadensis, Betula",-,-,-,Howland Silt Loam And,-,<9%,-,
95,27,,"alleghaniensis, Abies",,,,Monarda-Burnham Complex,,,,
95,28,,"balsamea, Populus spp,",,,,,,,,
95,29,,"Fagus grandifolia, Picea",,,,,,,,
95,30,,"rubens, Betula papyrifera,",,,,,,,,
95,31,,Pinus strobus,,,,,,,,
96,1,Sperandio et al. (2021),Populus × canadensis,*(8-11),"*(50.57-101.41), (17-491)",*(9.84-13.20) cm,Clayey-Loamy Soil,-,Flat,1,
96,2,,,,kg,,,,,,
96,3,Spinelli et al. (2014),Eucalyptus polybractea,20,"*(93-96), (67-154) kg",-,Pasture Field,-,-,-,
96,4,Spinelli & De Arruda Moura,Eucalyptus urograndis,*(4-11),0.145 *(0.1-0.4) m³ub,-,Firm Sandy Soils,-,<10%,120,
96,5,(2019),,,,,,,,,
96,6,Spinelli et al. (2022),Populus x euramericana,5,"30 dry kg, stem and",12 *(11.9-12.4) cm,-,-,-,4,
96,7,,,,branches,,,,,,
96,8,Spinelli et al. (2023),Populus x euramericana,6,-,12 *(12.1-12.3) cm,-,-,-,1,
96,9,Spinelli et al. (2020a),"Spruce, Fir, Broadleaves",(60-80),"*(0.675-1.374), (0.25-3.1)",-,Cambisol,-,-,13,
96,10,,,,m³,,,,,,
96,11,Spinelli et al. (2020b),Poplar (clone AF8),7,"103 kg fresh weight, tree",15.1 cm,-,-,-,-,
96,12,,,,mass,,,,,,
96,13,Stoilov et al. (2021),"Pinus sylvestris, Pinus nigra",55,-,*(24-30) cm,-,-,19°,2,
